   Campaign ID  Impressions  Clicks  Conversions       Spend      Revenue  \
0   Campaign_1         6078     594          378  307.737714  3359.955223   
1   Campaign_2         2621     503           57  727.828578  2820.793415   
2   Campaign_3         1632      45          176  896.108830  2423.353248   
3   Campaign_4         8274     172          410  357.047661  2879.374106   
4   Campaign_5         6505      48          493  871.891533  2933.608047   
5   Campaign_6         9368     154           94  878.622659  2808.893883   
6   Campaign_7         5887     489          463  812.941751  2261.068076   
7   Campaign_8         2362     915           67  313.366770  3492.012653   
8   Campaign_9         6099     651          134  757.015991  1511.538326   
9  Campaign_10         4235     365          481  385.800806  3671.153433   
